Marca Temporal,ID único,"2. Especifique, ¿en qué situaciones últimamente ha sentido ganas de llorar?"
4/23/2024 19:48:07,PFNKXS54,"Cuando estoy frustrado por no poder hacer un trabajo, cuando siento que no estoy dando el ancho en el doctorado o no avanzo en mi investigación, cuando me desespero y estoy demasiado estresado por todas las cosas que tengo que hacer."
4/23/2024 19:48:07,MKZUPRJI,Cuando no me salen las cosas 
4/23/2024 19:48:07,UJCL56SG,"Al pensar cosas y que no pasen, planear cosas y no sucedan, no ver reciprocidad en cuanto afecto"
4/23/2024 19:48:07,B2KUCT4P,Cuando las cosas no salen como quiero
4/23/2024 19:48:07,GXLRPJ5F,Cuando me enojo con mis hermanas o cuando me enojo con mi novio.
4/23/2024 19:48:07,U1856WJ8,Por sentirme insuficiente
4/23/2024 19:48:07,ADDP44O9,No ha habido situaciones así recientemente 
4/23/2024 19:48:07,EL85BQ8X,Cuando me desesperó 
4/23/2024 19:48:07,9LGMBDLF,Cuando me pongo a pensar en lo abrumador del futuro. Cuando siento que nadie me entiende
4/23/2024 19:48:07,TUW6M31C,"Situaciones de demasiado estrés, por demasiado trabajo en casa o en la universidad o cuando me siento demasiado sola y no tengo a quien contárselo "
4/23/2024 19:48:07,XH7ERTSE,"Cuando entiendo el contexto en el que me encuentro, ver mi alrededor, tratar de comprenderlo, comprender a la gente, comprender que todos estan viviendo algo diferente y peor, y aun asi siguen aqui. 
Por incompetencia propia, indignacion."
4/23/2024 19:48:07,HNAK6DR5,Alguna decepción 
4/23/2024 19:48:07,IAADDB7O,"Al momento de reflexionar lo ha sido de mi vida, además de ver alguna película que encaje en la situación, al igual que al momento de escuchar alguna canción que traigas ciertos recuerdos "
4/23/2024 19:48:07,7FKG0LV6,Cuando no veo a mis perros por bastante tiempo 
4/23/2024 19:48:07,HJB227EF,cuando siento frustración por un programa que no compila
4/23/2024 19:48:07,GBDDJNH0,"Cuando suelo estar sola en casa pensando en cosas de la vida, me deprimo."
4/23/2024 19:48:07,9ZRTSOTK,Cuando me siento totalmente estresado y no veo una solución clara.
4/23/2024 19:48:07,0FQMQ0V1,"Al hacer presente mas mis emociones retenidas, cosas que no he trabajado emocionalmente"
4/23/2024 19:48:07,60S1CVNZ,Situaciones desafortunadas 
4/23/2024 19:48:07,GKU8ECFL,Cuando discuto con mi familia 
4/23/2024 19:48:07,WED8UH5D,Ninguna 
4/23/2024 19:48:07,FM5YVNM2,"Cuando veo que la relación entre familia van mal, y cuando no entiendo algo en la universidad "
4/23/2024 19:48:07,TOKIQV38,"Cuando mis planes del día no salen bien. Y cuando estoy en mi casa, sola en mi cuarto o es de noche y cuando llueve."
4/23/2024 19:48:16,QHVZR83J,"1.Cuando algún trabajo no me sale correctamente.
2.Cuando recuerdo algunas situaciones desagradables por las cuales mis supuestos amigos me hicieron pasar.
3.Cuando me dan noticias malas acerca de la salud de mis seres queridos."
4/23/2024 19:52:34,QXIEYINQ,Cuando recuerdo a mi papá.
4/23/2024 20:03:37,KLWAYA6Z,"Cuando siento que hay algo que me está limitando, cuando no estoy entendiendo algún tema importante, etc "
4/23/2024 20:13:28,U57VENCU,Cuando veo mi cuerpo en un espejo
4/23/2024 20:13:37,A2IERC7W,Problemas familiares
4/23/2024 20:18:00,9N5PTUUF,Cuando no puedo ayudar a alguien a quien quiero
4/23/2024 20:28:40,SXA26XSC,Con el estado de salud de mi madre que se encuentra delicada 
4/23/2024 20:30:08,XEDRH93Z,Cuando he pasado mucho tiempo sin visitar a mi familia.
4/23/2024 20:43:09,S8Y84CH8,Cuando recuerdo que la persona que quería demasiado me traicionó. 
4/23/2024 20:44:26,HG74CPSK,Cuando no puedo hacer nada para cambiar situaciones que estén fuera de mi control
4/23/2024 21:02:39,L2RH302J,"Realmente no he tenido situaciones donde quiera llorar, si es verad que hay dias en lo que pueda sentir mas solitario pero no preciamente quiere decir que a la vez me sienta triste."
4/23/2024 21:05:33,FN2PCHS1,En situaciones de estrés y cuando las cosas no salen bien
4/23/2024 21:10:29,GUS8V807,"Cuando me abruma el futuro, principalmente académico."
4/23/2024 21:26:04,3GGBO8RK,Cuando veo una escena trágica en una película.
4/23/2024 21:27:00,3DA9WB82,Cuando me estreso demasiado y siento que no soy suficiente para eso
4/23/2024 21:37:25,4SUVP1WR,"cuando pienso en el futuro, en el pasado o cuando veo algo con lo que me identifico y que me hace sentir fuerte o débil."
4/23/2024 22:47:07,JOAT36RK,"Cuando tengo muchas cosas que hacer, las cosas no salen como quiero, hay problemas con mi familia "
4/23/2024 22:57:11,53EHQAPE,Últimamente cuando la carga de trabajo y el cansancio me supera. 
4/23/2024 23:46:42,PVDRLPQL,"No soy una persona que lloré, creo que nunca lo he hecho, sin embargo la muerte de familia no tan lejana ciertamente han sido momentos donde he sentido genuinamente ganas de llorar, aunque finalmente no termina suciediendo."
4/23/2024 23:57:44,K8SLYVAW,"En situaciones en las que sienta enojo o frustración, tales como no lograr completar una o varios proyectos a tiempo, complicaciones personales tales como situaciones familiares, de amistad y/o romance, y sobrecarga de responsabilidades en un periodo corto de tiempo; llega un momento de reflexión a la hora más tranquila del día en el que me doy cuenta de la presión en la que me sostengo."
4/24/2024 0:02:54,TUNKCUEZ,En frustraciones o cuando algo no cumple mis expectativas o metas
4/24/2024 1:16:24,5I7IDE86,"Al recordar. Algunas palabras, canciones o situaciones me hacen recordar momentos que me marcaron, incluso tengo pesadillas recordando todo con detalle de cada palabra y accion. Al ver mis cicatrices y sentirme como idiota, porque esas cicatrices nunca se irán, siempre estarán para recordar lo que fui. Algo que más me hace querer llorar es ver cómo mi hermana la persona más importante de mi vida observa mis cicatrices y sabe que no solo son cicatrices físicas si no internas que siempre llevaré dentro de mi. Sin decirme nada, lo dice todo con la mirada. "
4/24/2024 10:55:51,WG8ABYZS,"En pocas, como en escenas melancólicas "
4/24/2024 11:16:48,QCURT76I,con la muerte de un familiar
