Marca Temporal,ID único,"4. ¿En qué situaciones de su día a día, puede identificar que se ha sentido preocupado?"
4/23/2024 19:48:07,PFNKXS54,"Cuando tengo trabajos pendientes que entregar, cuando pasa algo y tengo la duda me genera mucha incertidumbre, cuando una persona no habla conmigo y no me da sus razones, cuando se me juntan muchas actividades para el otro día."
4/23/2024 19:48:07,MKZUPRJI,Cuando algo no me sale 
4/23/2024 19:48:07,UJCL56SG,"En todo el tiempo, vivo ansioso"
4/23/2024 19:48:07,B2KUCT4P,"Cuando algo no me sale bien, y hasta que no me salga estare ahi con la preocupacion"
4/23/2024 19:48:07,GXLRPJ5F,Cuando no atiendo las tareas que debo hacer. O hago algo mal 
4/23/2024 19:48:07,U1856WJ8,"El tener que vivir un día más, sonará medio ridiculo pero tener que afrontar el mañana me está cansando"
4/23/2024 19:48:07,ADDP44O9,Cuando algo no sale como lo tenía planeado o surgen imprevistos 
4/23/2024 19:48:07,EL85BQ8X,Cuando veo que tengo mucha  tarea
4/23/2024 19:48:07,9LGMBDLF,Cuando dejan una nueva tarea o exámen 
4/23/2024 19:48:07,TUW6M31C,"En clases, toda la mañana cuando siento que no puedo retener todo"
4/23/2024 19:48:07,XH7ERTSE,Al despertar y en transcurso del camino entre mi casa y la universidad.
4/23/2024 19:48:07,HNAK6DR5,En las tardes- noches 
4/23/2024 19:48:07,IAADDB7O,"Casi nunca, más allá del pensar acerca de que será mañana de mi "
4/23/2024 19:48:07,7FKG0LV6,En el trabajo cuando las ventas están bajas 
4/23/2024 19:48:07,HJB227EF,cuando se acercan los finales de semestre
4/23/2024 19:48:07,GBDDJNH0,Me preocupan los proyectos y exámenes que vaya a tener ese día.
4/23/2024 19:48:07,9ZRTSOTK,Al salir de un examen que no comprendí correctamente o de alguna acción que se pudo malinterpretar.
4/23/2024 19:48:07,0FQMQ0V1,"Cuando hago mis finanzas y puede que no complete los gastos del mes, cuando mi familia o amigos no se comunican que esta bien despues de salir"
4/23/2024 19:48:07,60S1CVNZ,Con los pendientes de la universidad 
4/23/2024 19:48:07,GKU8ECFL,Cuando pienso que estoy haciendo con mi vida o porque voy avanzando tan lento
4/23/2024 19:48:07,WED8UH5D,Cuando me doy cuenta de mis pendientes 
4/23/2024 19:48:07,FM5YVNM2,"Cuando siento que no voy apoder hacer un tarea, o cuando veo que mi hermana no mejora "
4/23/2024 19:48:07,TOKIQV38,Cuando los tiempos estimados no son lo que se esperan.
4/23/2024 19:48:16,QHVZR83J,"1.Cuando siento que mis conocimientos no son lo suficientes.
2.Cuando hago mal algun trabajo o tarea.
3.Cuando siento que no me alcanza el tiempo para realizar mis actividades."
4/23/2024 19:52:34,QXIEYINQ,De manera general en cosas sobre las que no tengo control.
4/23/2024 20:03:37,KLWAYA6Z,"En la tarde, cuando estoy en mi casa y siento que tengo demasiadas cosas que hacer "
4/23/2024 20:13:28,U57VENCU,cuando salgo de casa
4/23/2024 20:13:37,A2IERC7W,Al darme cuenta de lo difícil que es destacar en mi carrera 
4/23/2024 20:18:00,9N5PTUUF,Cuando sobre pienso las cosas.
4/23/2024 20:28:40,SXA26XSC,"Cuando voy tarde a clases, cuando entregan resultados de exámenes, cuando tengo muchas cosas por hacer "
4/23/2024 20:30:08,XEDRH93Z,"Cuando enfrento problemas con algunos proyecto, como fechas límite ajustadas o situaciones complicadas y también en la temporada de los exámenes."
4/23/2024 20:43:09,S8Y84CH8,"Cuando olvido hacer algo importante como los trámites o entregar tareas, no poder entrar a clase o no entender lo que me enseñan, ver que otras personas son mejores que yo y vamos en el mismo nivel. "
4/23/2024 20:44:26,HG74CPSK,Cuando no se lo que me depara el futuro
4/23/2024 21:02:39,L2RH302J,Cuando tengos pendientes con poco tiempo para poder entregarlos.
4/23/2024 21:05:33,FN2PCHS1,Al pensar en mi tarea pendiente
4/23/2024 21:10:29,GUS8V807,"En las noches, junto antes de dormir."
4/23/2024 21:26:04,3GGBO8RK,Cuando dejo una tarea al último y siento que el tiempo que deje para hacer la tarea es muy justo.
4/23/2024 21:27:00,3DA9WB82,Cuando no entrego tareas
4/23/2024 21:37:25,4SUVP1WR,siempre que pienso en el futuro a corto y mediano plazo
4/23/2024 22:47:07,JOAT36RK,Cuando tengo que gastar dinero 
4/23/2024 22:57:11,53EHQAPE,Al pasar contratiempos que afectan la programación de mis actividades o en la calle cuando empiezo a notar a personas sospechosas a mi alrededor.  
4/23/2024 23:46:42,PVDRLPQL,En ninguno.
4/23/2024 23:57:44,K8SLYVAW,"Al momento de realizar alguna tarea y/o proyecto de una materia que se me llegue a complicar debido a una planificación no tan eficiente de mi tiempo o por razones fuera de mi control. De igual manera, también me llega a preocupar si voy a llegar a casa sin algún contratiempo como un robo o asalto, o incluso algo más leve como el tráfico y que llegue muy tarde a casa."
4/24/2024 0:02:54,TUNKCUEZ,Cuando tengo demasiada carga de tareas o mis planes cambian inesperadamente 
4/24/2024 1:16:24,5I7IDE86,"Al no poder con alguna tarea y tener que pedir apoyo, me preocupa no poder tener el potencial que se requiere para realizar tareas sola. También al creer que nunca podré llegar a ser nada en mi vida a no poder lograr mis objetivos."
4/24/2024 10:55:51,WG8ABYZS,Acerca de las tareas y cosas escolares
4/24/2024 11:16:48,QCURT76I,después de regresar de clases 
4/24/2024 11:24:06,8OVFX977,Cuando algo urgente depende de mi y va saliendo mal
4/24/2024 11:27:42,PPZXS8CP,Casi todo el día.
4/24/2024 11:28:12,T38J7JB4,TARDE NOCHE
4/24/2024 11:29:56,TE4FJ4MH,Cuando pienso en todas las tareas que tengo por hacer
4/24/2024 11:30:15,ZELPD30F,Cuando no le entiendo a los temas de matemáticas o de programación 
4/24/2024 11:31:24,PUV5RTZG,Cuando voy camino a casa por lo peligroso que es el camino 
4/24/2024 11:32:16,33JDURG7,"Cuando mi mamá me marco varias veces y no respondí, o cuando mi hermano aún no llega a la casa y ya es tarde "
4/24/2024 11:32:59,EAM2O87V,"Cuando veo que no consigo realizar las tareas de la escuela. Cuando no veo progreso en mis estudios o materias, tareas, proyectos."
4/24/2024 11:33:22,H22AN93K,En las clases
4/24/2024 11:35:28,IRB84959,"Cuando no acabo mis deberes del día, cuando no comprendo bien un tema "
4/24/2024 11:39:35,XOF6KQ1G,En clases de álgebra 
4/24/2024 11:40:06,1GC9M0FT,En la escuela
4/24/2024 11:41:02,DZ9DN7BK,Por mis estudios y saber si puedo seguir estudiando o no
4/24/2024 11:41:30,ZF56737V,Tener que cumplir con compromisos por los cuales me siento rebasado. El futuro también me preocupa
4/24/2024 11:53:22,HGX6HZA2,Cuando mi familia tiene que pasar situaciones complicadas
4/24/2024 11:57:08,S2ATVULP,en las noches
4/24/2024 11:58:50,GFSFOGBV,Cuando no encuentro como encajar mis habilidades en el estudio o trabajo
4/24/2024 12:03:52,DPW9GBQ3,"Cuando vienen épocas de evaluaciones, que a pesar de que no descuido mis estudios tanto, se que son épocas de estrés por que hay veces en que toca hacerlo todo si quieres que salga bien "
4/24/2024 12:10:15,2YB4F1WO,"cuando tengo que hacer tarea, cuando no hay nadie en mi casa, cuando tengo que hacer cosas que no tengo tanta experiencia "
4/24/2024 12:11:29,LOKQGFF4,"Cuando los trabajos están cerca de la fecha de vencimiento, cuando busco ayuda para resolver dudas y no hay respuesta alguna, y cuando económicamente no me doy abasto con algún gasto"
4/24/2024 12:19:11,LI6RUZZW,"Cuando empiezo a pensar en qué cosas debo hacer, las que no he hecho y las que ya he hecho y las que podría hacer"
4/24/2024 12:20:06,VHUGEE7Y,Cuando tengo proyectos pendientes
4/24/2024 12:24:41,U5RVW5N7,No sé
4/24/2024 12:25:11,NG3F2CJ4,Cuando alguna persona que me importa está pasando por algún problema o cuando tengo algún pendiente que no puedo resolver
4/24/2024 12:26:00,ETSMGZBD,Cuando sobrepienso los proyectos 
4/24/2024 12:33:39,AY3IGV3Q,"Tengo varias lesiones en el cuerpo, pero sigo haciendo actividad física intensa, entonces trato de ir con calma, pero estar con el pensamiento de que, si me lastimo, no es algo que vaya a sanar rápido ni que sea barato, no me deja estar tranquilo
O cuando las cosas se me salen demasiado de control, intento tener plan a, b o c incluso si algo no va como lo planeado, intento improvisar, pero si muchas cosas empiezan a ocurrir, siento que no puedo controlar o resolver todos los problemas que se presentan, por ejemplo, esta semana debo pagar la tarjeta y un amigo al cual le hice una compra, todavía no me da el dinero que me debe, situaciones que no puedo apresurar, pero necesito que pasen, para que no haya consecuencias graves."
4/24/2024 12:38:17,EUW2F405,"Son cosas pequeñas, cosas familiares, personales, etc... Pero en todo momento uno se siente preocupado."
4/24/2024 12:53:16,ZLQAYMFG,Cuando se que algo está mal o se que mis acciones aunque no hayan sido malas pueden traer consecuencias o en general que algo me afecte aunque no tenga que ver con ello.
4/24/2024 12:56:33,LQY5OSVH,Cuando sobrepienso
4/24/2024 13:03:03,Y5I54ZU1,Cuando se acercan exámenes 
4/24/2024 13:30:30,1Y7ATVYP,En la escuela por las materias y no poder aprender y rezagarme con lo que debería aprender
4/24/2024 13:43:01,U3RWWQRL,"La mayoría de mi día, estoy preocupado por el día de mañana "
4/24/2024 13:48:24,EG8V8IQ1,Cuando estoy con el pendiente que no he hecho 
4/24/2024 14:34:04,POQ9TK13,Cuando espero algún resultado o respuesta importante que puede que afecte mis posibles problemas 
4/24/2024 15:03:56,VONE103T,En el momento en que siento que lo que se no me ayudará en mi vida a futuro 
4/24/2024 15:34:08,893V9WHU,"Cuando planeo mis actividades laborales y no puedo cumplirlas totalmente, cuando sé que debo realizar cierta actividad como estudiar y no lo hago. "
4/24/2024 15:43:23,JPFVNJKI,Cuando se me llegan a juntar tareas o si llego a sentir que el dinero que tengo para gastos no me va alcanzar
4/24/2024 15:48:07,QU685VKV,"En las noches, siempre sobrepienso."
4/24/2024 15:54:20,Z6ZGAS4H,Cuando escucho los problemas que hay en casa y se que aún no tengo las posibilidades o recursos para poder ayudarlos
4/24/2024 16:24:34,I7OEHA3M,cuando siento que alguien depende de lo que realice 
4/24/2024 16:25:34,945RIESS,"En la mañana al iniciar mis tareas y en las tardes al salir de clases, con cada día más carga."
4/24/2024 16:42:06,OY89I1AT,Cuando llega la entrega de trabajos 
4/24/2024 17:26:44,MHA8ZTS5,Cuando recuerdo algunas cuentas pendientes 
4/24/2024 18:05:56,RA4Y9X5E,No me eh sentido preocupado 
4/24/2024 18:20:17,LXDB8W6X,Al procrastinar y no hacer tareas 
4/24/2024 18:20:36,G6ZRICXV,Cuando tengo que hacer tarea y no tengo acceso a internet o tomar clase en linea.
4/24/2024 18:27:11,S1Z2D8M2,En las noches
4/24/2024 19:06:32,RC5G5VFK,Normalmente antes de dormir pensado en pendientes que no se pudieron solucionar 
4/24/2024 19:07:31,947J0Q5A,"Al inicio del día, muchas veces se me hace temprano para salir o cuando se entregan calificaciones de una materia que siento que me ira mal"
4/24/2024 19:40:22,W9LAW009,Cuando pienso en el futuro.
4/24/2024 19:48:20,2QH0OQRP,"Cuando tengo varios pendientes, cuando no entiendo algo, cuando alguien que conozco necesita tiene algún problema sin resolver "
4/24/2024 19:53:13,9FBVNJ3U,Cuando tengo muchos pendientes por hacer y la manera de organizar mi tiempo no da para cubrir todos los pendientes
4/24/2024 20:57:53,IRIJAUXK,"Al entregar proyectos, al sobre pensar acerca si mi pareja es infiel en mi relación y al pensar en mi futuro."
4/24/2024 21:00:13,H7ZSLKYX,al ver problemas de comunicación 
4/24/2024 22:49:25,ZNQELPB7, Intento ya no preocuparme por las cosas.
4/24/2024 23:23:27,J9Q8IXFH,en la escuela cuando dejan demasiada tarea o trabajos 
4/24/2024 23:33:27,2ON6FVSH,Cuando pienso que me puedo morir
4/25/2024 9:36:25,ES771SD8,Cuando he hecho algún mal a alguien o no he cumplido algo que prometí
4/25/2024 10:52:29,FZRWA0SY,Cuando ando en busca de soluciones y opurtunidades y no encuentro solucion al problema 
4/25/2024 11:40:29,1KWDDNOH,Principalmente al pensar en mi futuro y en si de verdad quiero esta carrera y está universidad (BUAP)
4/25/2024 11:42:43,5CHTZV8O,"Cuando hago un recuento de las cosas pendientes que tengo por realizar, algunas no muy sencillas de completar"
4/25/2024 12:15:55,RQF9W09V,Con la escuela y situaciones en casa
4/25/2024 12:16:44,Q7YR6JAL,"En momentos de sobre pensar, pensar en el futuro, viendo mi situación actual en todos los ámbitos y demás."
4/25/2024 12:21:21,YMU2FALS,Cuando no llego a tiempo a mis clases o veo mi cuenta de banco 
4/25/2024 12:28:34,BUUJHLBW,Cuando las cosas no avanzan de acuerdo a lo planeado 
4/25/2024 12:54:19,6OG08UL5,"Cuando el servicio de Transporte universitario no sale, según los horarios designados"
4/25/2024 12:55:12,UYE2QAWR,En cualquier momento
4/25/2024 13:02:31,0YIJFHVF,Todos los días 
4/25/2024 13:31:22,0WK1Q15C,Cuando no le entiendo a algun tema de alguna materia
4/25/2024 14:51:28,89R7BFY3,"En la tarde, cuando llego de la escuela "
4/25/2024 18:06:23,W8897XTA,Cuando tengo que realizar una actividad o examen de un tema que no entiendo muy bien 
4/25/2024 18:26:25,MOXPM084,Cuando se me hace tarde y no he concluido mis deberes
4/25/2024 18:32:43,DXF0Z2FN,No suelo preocuparme ya que me gusta hacer mis cosas con antelación 
4/25/2024 18:42:00,NDMKZW1M,Cuando tengo muchas cosas que hacer y no se que hacer 
