Marca Temporal,ID único,"5. Cuando la preocupación se hace presente en su vida, ¿cuáles son las sensaciones corporales que experimenta?"
4/23/2024 19:48:07,PFNKXS54,"Estrés, me siento agotado, me siento desanimado, me siento impaciente o estoy pensando mucho las cosas, con frecuencia trato de hablar con mi consciencia."
4/23/2024 19:48:07,MKZUPRJI,A haces ataques de antiedad dolor de estómago o cabeza 
4/23/2024 19:48:07,UJCL56SG,"Sudor, dolor de espalda y hombros, sed, hiperactividad"
4/23/2024 19:48:07,B2KUCT4P,Fatiga y tristeza
4/23/2024 19:48:07,GXLRPJ5F,"Nervios, angustia, estrés "
4/23/2024 19:48:07,U1856WJ8,Cansancio mental y ansias
4/23/2024 19:48:07,ADDP44O9,No puedo quedarme quieto 
4/23/2024 19:48:07,EL85BQ8X,Sudo
4/23/2024 19:48:07,9LGMBDLF,Dolor de cabeza
4/23/2024 19:48:07,TUW6M31C,"Escalofríos, me tiemblan las manos y las piernas, también se me acelera el corazón."
4/23/2024 19:48:07,XH7ERTSE,"Sudoracion excesiva, falta de aire, temblor en las manos."
4/23/2024 19:48:07,HNAK6DR5,Nerviosismo 
4/23/2024 19:48:07,IAADDB7O,"Escalofríos, agotamiento, taquicardia "
4/23/2024 19:48:07,7FKG0LV6,"Cosquilleo en todo el cuerpo,dolor de ojos"
4/23/2024 19:48:07,HJB227EF,"vacio en el estomago, hormigueo en las manos, piernas debiles "
4/23/2024 19:48:07,GBDDJNH0,Muchos nervios.
4/23/2024 19:48:07,9ZRTSOTK,Me siento con el cuerpo pesado y torpe. 
4/23/2024 19:48:07,0FQMQ0V1,No he prestado atencion a eso
4/23/2024 19:48:07,60S1CVNZ,"Sudor, ansiedad"
4/23/2024 19:48:07,GKU8ECFL,Como escalofrios 
4/23/2024 19:48:07,WED8UH5D,"Estrés, fatiga y desconcentración "
4/23/2024 19:48:07,FM5YVNM2,"Dolor de estómago, gastritis, acné "
4/23/2024 19:48:07,TOKIQV38,"Pocas energías, dificultad para dormir, para concentrarse y sobre pensar mucho las cosas. "
4/23/2024 19:48:16,QHVZR83J,"1.Dolor de cabeza.
2.Tensión muscular.
3.Falta de energia."
4/23/2024 19:52:34,QXIEYINQ,"Tiendo a estar mas inquieto, agarrarme el cabello y morderme las uñas."
4/23/2024 20:03:37,KLWAYA6Z,"Frío, incomodidad, se acelera el corazón y mis manos se ponen frías "
4/23/2024 20:13:28,U57VENCU,"comezón en la nariz y cabeza, punsaciones en cualquier parte del cuerpo"
4/23/2024 20:13:37,A2IERC7W,Sudor
4/23/2024 20:18:00,9N5PTUUF,"Cansancio, sueño, me cuesta concentrarme, falta de apetito."
4/23/2024 20:28:40,SXA26XSC,"Ritmo cardiaco aumentado, tics como dar pequeños saltos con el pie mientras estoy sentado, apretar la mandíbula "
4/23/2024 20:30:08,XEDRH93Z,Experimento dificultad para concentrarme.
4/23/2024 20:43:09,S8Y84CH8,"Dolor de estómago, diarrea, respiración agitada, ritmo cardíaco acelerado y dolor de cabeza. "
4/23/2024 20:44:26,HG74CPSK,"Falta de apetito, incapacidad de llorar, respiración fuerte, temblores"
4/23/2024 21:02:39,L2RH302J,Normalmente cuando me enuentro en una situacion de mcuho extres es verdad que llego a sentir dolor en los hombros o no poder dormir bien.
4/23/2024 21:05:33,FN2PCHS1,Mucho nerviosismo en todo el cuerpo 
4/23/2024 21:10:29,GUS8V807,"Tensión muscular, aceleración del ritmo cardíaco."
4/23/2024 21:26:04,3GGBO8RK,Se me acelera ligeramente la respiración.
4/23/2024 21:27:00,3DA9WB82,Dolor de cabeza
4/23/2024 21:37:25,4SUVP1WR,"ansiedad, desconcentración, debilidad, miedo, desesperanza, desanimo, apatía, coraje, desesperación, "
4/23/2024 22:47:07,JOAT36RK,"Sudoración, punzadas en el párpado, manos o piernas"
4/23/2024 22:57:11,53EHQAPE,"Dolor de cabeza, fatiga, ardor estomacal "
4/23/2024 23:46:42,PVDRLPQL,"Temblor en las manos, ganas de ir al baño, hiperventilación y mareos."
4/23/2024 23:57:44,K8SLYVAW,"Dolor de cabeza, presión en el pecho y hormigueo en brazos y piernas."
4/24/2024 0:02:54,TUNKCUEZ,"Cansancio, dolor de cabeza y noto que a la vez estoy distraído o no me concentro"
4/24/2024 1:16:24,5I7IDE86,Temblor de manos y corazón acelerado.
4/24/2024 10:55:51,WG8ABYZS,Fatiga
