Marca Temporal,ID único,9. Describa ¿En qué situaciones de su vida considera que se siente estresado o molesto?
4/23/2024 19:48:07,PFNKXS54,"Me siento estresado cuando me pongo a trabajar y siento que no avanzo, cuando se me va muy rápido el tiempo y no he logrado cubrir ciertas actividades que me programo, cuando no logro organizarme como quisiera, cuando siento que me quieren tomar el pelo o bien cuando abusan de mi nobleza."
4/23/2024 19:48:07,MKZUPRJI,Cuando no me salen las cosas 
4/23/2024 19:48:07,UJCL56SG,"En casa, en proyectos donde no me ayudan, en temas de sociedad y las cosas que me condicionan "
4/23/2024 19:48:07,B2KUCT4P,En semanas de evaluaciones o para hacer tramites
4/23/2024 19:48:07,GXLRPJ5F,"Cuando algo no sale como lo planeo, cuando estudio mucho y no lo veo reflejado en mi nota, cuando me ponen a competir y pierdo. Cuando por cuestiones externas pasa algo que no puedo controlar. "
4/23/2024 19:48:07,U1856WJ8,"Con la universidad, con tanto trabajo que se me juntó ya empiezo a sentir presión "
4/23/2024 19:48:07,ADDP44O9,"Cuando salen múltiples imprevistos en un solo día, cuándo percances que no depende de mi me afectan directamente "
4/23/2024 19:48:07,EL85BQ8X,Cuando no me salen las cosas como quiero
4/23/2024 19:48:07,9LGMBDLF,"Cuando no puedo tener el control, cuando ocurre algo que no planeó "
4/23/2024 19:48:07,TUW6M31C,Cuando me siento muy presionado o con mucho trabajo encima 
4/23/2024 19:48:07,XH7ERTSE,"Cuando miro peliculas o jugando videojuegos pues en esos momentos mi atencion esta en total dedicacion a algo mas que sucede, comprender lo que sucede.
Caminando, es como un momento de reflexion solo conmigo.
En cierto momento en el trabajo, al ser un trabajo manual, me gusta fijarme en los detalles, por lo que mi atencion se dirige hacia alla."
4/23/2024 19:48:07,HNAK6DR5,Cuando pasa algo que no quiero o en momentos de presión 
4/23/2024 19:48:07,IAADDB7O,"Al momento de tener varios y distintos pendientes, o al pensar si llegaré a fin de mes, también al momento de sobre pensar las cosas y situaciones que no puedo cambiar "
4/23/2024 19:48:07,7FKG0LV6,"Cuando no puedo dormir ,cuando hace mucho calor "
4/23/2024 19:48:07,HJB227EF,cuando algo no puedo solucionarlo
4/23/2024 19:48:07,GBDDJNH0,Cuando algo no sale como quiero.
4/23/2024 19:48:07,9ZRTSOTK,Cuando no logro comprender algo o mi situación empeora con mis acciones.
4/23/2024 19:48:07,0FQMQ0V1,En situaciones donde no me siento comodo o bien en pequeñas cosas que afectan mi dia
4/23/2024 19:48:07,60S1CVNZ,Cuando no logró lo que me propongo
4/23/2024 19:48:07,GKU8ECFL,Cuando tengo muchas cosas por hacer y termino sin hacer ninguna 
4/23/2024 19:48:07,WED8UH5D,Cuando las cosas no salen como quiero 
4/23/2024 19:48:07,FM5YVNM2,"Cuando se me juntan las tareas, trabajo y mas sino me sale como espero y el tiempo esta sobre mi"
4/23/2024 19:48:07,TOKIQV38,"En lo personal, cuando no me salen bien las cosas y lo intento arreglar pero no me sale. En lo laboral cuando una persona es muy despreocupada, incumplida, irrespetuosa, o grosera.   "
4/23/2024 19:48:16,QHVZR83J,"1.Cuando tengo algun trabajo en equipo y no aporto tantas ideas como quisiera.
2.Cuando tengo algún error en mis codigos y no lo puedo solucionar.
3.Y algunas veces cuando las personas me hablan mientras realizo algun trabajo."
4/23/2024 19:52:34,QXIEYINQ,Cuando mis compañeros de equipo no hacen nada para los trabajos y cuando programo y llevo ya varias horas tratando de resolver los errores 
4/23/2024 20:03:37,KLWAYA6Z,"Cuando no he dormido, cuando tengo que entregar algo "
4/23/2024 20:13:28,U57VENCU,"cuando las cosas que hago no me salen como quiero, cuando me siento inferior "
4/23/2024 20:13:37,A2IERC7W,Cuando las cosas no salen cómo las planeo 
4/23/2024 20:18:00,9N5PTUUF,Cuando tengo demasiados deberes.
4/23/2024 20:28:40,SXA26XSC,"En situaciones donde no me tomen en serio por verme pequeño. Por ejemplo entrar a alguna tienda donde haya personal que puede ofrecerte su ayuda y que no se acerquen a mi y si a los demás clientes, y sobre todo en situaciones donde no pueda controlar el resultado o que vaya a pasar."
4/23/2024 20:30:08,XEDRH93Z,Me estreso cuando tengo muchas tareas pendientes y poco tiempo para terminarlas.
4/23/2024 20:43:09,S8Y84CH8,"Cuando se me junta mucho trabajo de la universidad, cuando mis padres me molestan con sus comentarios, cuando me molestan a propósito, cuando yo ayudo a las personas pero cuando necesito de ellos no están para mí. "
4/23/2024 20:44:26,HG74CPSK,Cuando personas ajenas quieren usar mi tiempo 
4/23/2024 21:02:39,L2RH302J,"Existen muchas situaciones que me provocan estas emociones, pero lo que mas me puede afectar y provocar una molestia, son todas aquellas situaciones en las que me veo afectado por factores ajenos a mi, sin la posibilidad de no poder hacer nada."
4/23/2024 21:05:33,FN2PCHS1,Cuando tengo muchas cosas por hacer y siento que no progreso
4/23/2024 21:10:29,GUS8V807,"Cuando no logro mis objetivos diarios, el incuplimiento de la disciplina y la búsqueda constante de un ritmo de trabajo. "
4/23/2024 21:26:04,3GGBO8RK,Cuando estoy convencido de que algo va a pasar de cierta manera pero termina ocurriendo de una forma bastante distinta de la que pensaba.
4/23/2024 21:27:00,3DA9WB82,Cuando no siento el control de las cosas
4/23/2024 21:37:25,4SUVP1WR,"cuando me siento/me veo superado por alguien más, cuando mis esfuerzos resultan ser sumamente insignificantes, cuando no puedo controlar algo o pierdo el control en algo, cuando siento que merezco más, y cuando la vida me hace pensar que quizás en realidad no merezco más."
4/23/2024 22:47:07,JOAT36RK,"Cuando las cosas no puedo hacerlas en los primeros intentos, si tengo que esperar un periodo largo de tiempo cuando ya había una hora estipulada, que me hagan preguntas constantemente en un periodo corto de tiempo mientras estoy haciendo alguna otra actividad "
4/23/2024 22:57:11,53EHQAPE,"Cuando me peleo con mis papas , al tener muchas tareas y que hacer en casa, "
4/23/2024 23:46:42,PVDRLPQL,"Cuando sé que hice las cosas mal por situaciones que pude haber hecho mejor y no las hice por flojera, por procrastinación, por pensamientos negativos o por cosas que en general sé que pude evitar."
4/23/2024 23:57:44,K8SLYVAW,"Personalmente no lidio nada bien con la frustración y soy de las personas que se estresa con facilidad y tampoco lidio bien con aquella emoción. Aquello que me causa estrés es al momento de realizar algo y no me sale como me gustaría que saliera, también al momento de tomar decisiones importantes en un tiempo muy corto para pensarlo. Aquello que me causa molestia es cuando me interrumpen en medio de una conversación constantemente o no me prestan atención contando algo importante y/o personal. "
4/24/2024 0:02:54,TUNKCUEZ,"Cuando hay mucho tráfico, cuando siento mucho calor, cuando no pude dormir bien y tengo sueño, cuando tengo carga de proyecto y tareas, y cuando mis planes no salen como esperaba."
4/24/2024 1:16:24,5I7IDE86,"Cuando me gritan o me ofenden, incluso si me dan órdenes sin gentileza "
4/24/2024 10:55:51,WG8ABYZS,"Relacionado a la escuela y el trabajo, casi todo el tiempo "
4/24/2024 11:16:48,QCURT76I,cuando el tiempo se me acaba
4/24/2024 11:24:06,8OVFX977,Cuando hay poco tiempo para hacer las cosas o uno de siente impotente
4/24/2024 11:27:42,PPZXS8CP,"Cuando no llego temprano a la universidad, cuando no me sale una actividad o cuando sobre pienso una situación."
4/24/2024 11:28:12,T38J7JB4,"CUANDO PIERDO COSAS, CUANDO LLENO MI CALENDARIO DE COSAS SIN DARME CUENTA."
4/24/2024 11:29:56,TE4FJ4MH,"Cuando no puedo realizar una actividad,más si la actividad tiene fecha límite "
4/24/2024 11:30:15,ZELPD30F,En la Universidad y en casa
4/24/2024 11:31:24,PUV5RTZG,"Cuando llegan final de parciales, se junta el trabajo y las.materias y hace que sea muy estresante"
4/24/2024 11:32:16,33JDURG7,"Cuando no dejan los trastes limpios, cuando se rompe algo de la casa, cuando me dejan plantada en alguna actividad "
4/24/2024 11:32:59,EAM2O87V,"En la escuela, al ver que las materias, profesores y la institución no presentan algo de calidad beneficio hacia mi educación. "
4/24/2024 11:33:22,H22AN93K,problemas familiares o dinero
4/24/2024 11:35:28,IRB84959,Cuando las cosas no salen como quiero 
4/24/2024 11:39:35,XOF6KQ1G,Cuando no se como hacer algo o no me sale por más que me esfuerce
4/24/2024 11:40:06,1GC9M0FT,Trabajo
4/24/2024 11:41:02,DZ9DN7BK,Cuando me sobrecargo de problema que aveces no son mios y consume mi tiempo o simplemente estar muy presionado con tareas o trabajos en casa
4/24/2024 11:41:30,ZF56737V,problemas en relaciones y la vida académica me estresa mucho últimamente
4/24/2024 11:53:22,HGX6HZA2,"Mayormente por pensar en mi futuro y tratar de conseguir mis metas, es lo que a veces me llena de frustración"
4/24/2024 11:57:08,S2ATVULP,cuando me molestan y pasa algo que me afecta pero que no estaba en mis manos
4/24/2024 11:58:50,GFSFOGBV,"Una pelea con un amigo o familiar, frustración por no resolver problemas laborales o estudiantiles"
4/24/2024 12:03:52,DPW9GBQ3,"Cuando las cosas no salen como quiero, no tener el control de mi contexto me enojar demasiado."
4/24/2024 12:10:15,2YB4F1WO,"Cuando se llena el camión, cuando ando haciendo tarea o algo y me mandan a hacer otra cosa"
4/24/2024 12:11:29,LOKQGFF4,"En aquellos casos cuando llevo intentando muchas veces algo y sigue sin funcionar o sin dar el resultado deseado, cuando me culpan de algo que no hice, cuando quieren tratar de manipularme, cuando quieren aprovecharse de mi, cuando me hacen quedar mal, cuando soy el único que realiza la actividad cuándo es en equipo sin que me ofrezcan ayuda o algún apoyo, cuando trato de dar una solución lo invaliden inmediatamente sin siquiera escuchar, cuando me exigen algo sin siquiera preocuparse por mi o en si saber si estoy disponible o sin importarle que tengo que realizar también otras actividades"
4/24/2024 12:19:11,LI6RUZZW,"Cuando tengo actividades académicas (tareas), cuando tomo cursos y.....simplemente no me puedo concentrar o cuando algo no me sale bien"
4/24/2024 12:20:06,VHUGEE7Y,Cuando no soy productivo
4/24/2024 12:24:41,U5RVW5N7,Con presión al tener muchos proyectos
4/24/2024 12:25:11,NG3F2CJ4,Cuando hay discusiones familiares en casa y tareas o proyectos que me cuestan comprender 
4/24/2024 12:26:00,ETSMGZBD,Cuando sucede algo que no había planeado 
4/24/2024 12:33:39,AY3IGV3Q,"Odio tener que repetir cosas sobre todo cuando son de un tema serio, tengo amigos para todo, reuniones, trabajo, gustos, platicar, jugar, etc.
Suelo juntarme más con los amigos con los que se hace platica y bromas, pero con estos mismos hago equipo de trabajo, hay veces que se toman todo a juego y yo debo tener el cargo de líder para ver si así mínimo pueden hacer algo, luego de que les hecho la mano, se ponen en planes de que no quieren trabajar y en ocasiones se acaban mi paciencia.
También cuando tengo muchos pendientes, sé que debo cumplirlos como mi responsabilidad, pero también quiero ir al gimnasio como mi disciplina, a veces el entrenamiento no puedo hacerlo en 1 hora, y pensando en lo que debo hacer llegando a la casa no me deja realizar ninguna acción a la vez."
4/24/2024 12:38:17,EUW2F405,"Cuando algo me sale mal, o cosas similares."
4/24/2024 12:53:16,ZLQAYMFG,"Cuando paso demasiado tiempo sin comprender cosas de cualquier tipo, cuando me interrumpen en cuestiones que yo considero importantes."
