Marca_Temporal,ID_Unico,Texto,Texto_Procesado,Longitud_Tokens,Emocion,Longitud_Texto
4/24/2024 11:24:06,8OVFX977,"Analizar la situación, ver las consecuencias y ver qué es lo mejor.","analizar la situación, ver las consecuencias y ver qué es lo mejor.",14,Miedo,12
4/24/2024 11:30:15,ZELPD30F,"Cuando estoy solo,  con mis homs de mi barrio, con mi familia. ","cuando estoy solo, con mis homs de mi barrio, con mi familia.",16,Felicidad,12
5/1/2024 23:34:11,XA5DPHB3,"Cuando voy a eventos relacionados con mi carrera y en donde conozco mucha gente 
Jugando volley con el equipo de mi universidad , me libera mucho 
Visitando a mi familia ya que soy foranea","cuando voy a eventos relacionados con mi carrera y en donde conozco mucha gente jugando volley con el equipo de mi universidad , me libera mucho visitando a mi familia ya que soy foranea",39,Felicidad,34
4/24/2024 15:43:23,JPFVNJKI,"Cuando me estreso, cuando extraño a mi familia","cuando me estreso, cuando extraño a mi familia",10,Tristeza,8
4/23/2024 19:48:07,B2KUCT4P,Me trato de tranquilizar si es necesario pido ayuda o hablo con alguien,me trato de tranquilizar si es necesario pido ayuda o hablo con alguien,14,Miedo,13
4/30/2024 21:04:57,7CTEOZ0B,"No eh tenido ganas de llorar pero, las situaciones que me hacen sentir triste o nostálgico son el recordar momentos y experiencias que no tuvieron un buen desenlace.","no eh tenido ganas de llorar pero, las situaciones que me hacen sentir triste o nostálgico son el recordar momentos y experiencias que no tuvieron un buen desenlace.",34,Tristeza,28
4/25/2024 19:33:43,UBSR9VC8,"Tomar un momento para descansar, analizar la situación y buscar posibles soluciones, luego buscar maneras de como actuar para conseguir la solución ","tomar un momento para descansar, analizar la situación y buscar posibles soluciones, luego buscar maneras de como actuar para conseguir la solución",24,Miedo,22
4/24/2024 11:57:08,S2ATVULP,cuando recuerdo mis años anteriores,cuando recuerdo mis años anteriores,5,Tristeza,5
4/24/2024 11:58:50,GFSFOGBV,"Una pelea con un amigo o familiar, frustración por no resolver problemas laborales o estudiantiles","una pelea con un amigo o familiar, frustración por no resolver problemas laborales o estudiantiles",17,Estrés,15
4/24/2024 12:25:11,NG3F2CJ4,"La felicidad está en aquellas cosas que te hacen creer que vale la pena vivir, una persona, una mascota, un sentimiento que te haga sentir bien.","la felicidad está en aquellas cosas que te hacen creer que vale la pena vivir, una persona, una mascota, un sentimiento que te haga sentir bien.",30,Felicidad,26
5/10/2024 16:27:26,90SG09DL,Un poco con miedo pero posteriormente con enojo y frustracion,un poco con miedo pero posteriormente con enojo y frustracion,13,Ira,10
5/9/2024 22:04:15,1OGWU084,Dolor de cabeza,dolor de cabeza,3,Preocupación,3
4/25/2024 18:32:43,DXF0Z2FN,"Primero buscar soluciones, siempre existe una solución y pensar en mi bienestar, si algo inesperado sucede para que perder tiempo en quejarme.","primero buscar soluciones, siempre existe una solución y pensar en mi bienestar, si algo inesperado sucede para que perder tiempo en quejarme.",27,Ira,22
4/24/2024 12:25:11,NG3F2CJ4,"Cuando paso tiempo con mis amigos, mi pareja y mi familia ","cuando paso tiempo con mis amigos, mi pareja y mi familia",12,Felicidad,11
4/24/2024 13:48:24,EG8V8IQ1,"Pienso las cosas que sean bueno y malo, con ello ya veo que decisión tomar ","pienso las cosas que sean bueno y malo, con ello ya veo que decisión tomar",16,Miedo,15
4/24/2024 23:23:27,J9Q8IXFH,en esta ultima semana es donde mas me siento cansado,en esta ultima semana es donde mas me siento cansado,10,Estrés,10
4/29/2024 18:47:56,EC28OB0I,Cuando hay muchos proyectos en la escuela ,cuando hay muchos proyectos en la escuela,7,Estrés,7
5/16/2024 0:29:08,QN6SP8W7,Tratar de estresarme lo menos posible para llegar a pensar en soluciones eficaces ,tratar de estresarme lo menos posible para llegar a pensar en soluciones eficaces,14,Miedo,13
4/24/2024 12:19:11,LI6RUZZW,"Como una sensación de escalofríos, siento una especie de presión en mi cabeza, mucho calor, y no puedo estar quieto","como una sensación de escalofríos, siento una especie de presión en mi cabeza, mucho calor, y no puedo estar quieto",25,Preocupación,20
4/25/2024 12:16:44,Q7YR6JAL,"En momentos de sobre pensar, pensar en el futuro, viendo mi situación actual en todos los ámbitos y demás.","en momentos de sobre pensar, pensar en el futuro, viendo mi situación actual en todos los ámbitos y demás.",22,Preocupación,19
4/26/2024 12:56:50,OAZ5FC8A,Cuando estoy con mis amigos ,cuando estoy con mis amigos,5,Felicidad,5
4/23/2024 19:48:07,60S1CVNZ,Con preocupación y nerviosismo ,con preocupación y nerviosismo,5,Ira,4
5/8/2024 0:16:33,NZNKVJN5,Logros profesionales: Me contrataron donde estaba haciendo prácticas ,logros profesionales: me contrataron donde estaba haciendo prácticas,10,Felicidad,8
4/25/2024 10:52:29,FZRWA0SY,"Por lo regular no suelo ser una persona que me moleste , siempre mantengo la calma , en cambio con la frustacion , si me ha llegado a pasar , mas que nada al tardarme mas tiempo en cumplir mis objetivos ","por lo regular no suelo ser una persona que me moleste , siempre mantengo la calma , en cambio con la frustacion , si me ha llegado a pasar , mas que nada al tardarme mas tiempo en cumplir mis objetivos",44,Estrés,41
4/25/2024 21:55:05,1C8YLNRI,Sin excusa ,sin excusa,2,Ira,2
4/23/2024 20:44:26,HG74CPSK,Cuando me sale todo como lo planeo ,cuando me sale todo como lo planeo,8,Felicidad,7
5/9/2024 13:19:18,9NUZ5PKN,Tener la misma rutina ,tener la misma rutina,4,Estrés,4
4/26/2024 11:50:56,LS7WFV2B,Tener información sobre lo cual se irá a tomar la decisión no llegar con una idea vaga de lo que es; ver las causas y consecuencias que la elección tiene o tendrá; en que puede afectar o beneficiar.,tener información sobre lo cual se irá a tomar la decisión no llegar con una idea vaga de lo que es; ver las causas y consecuencias que la elección tiene o tendrá; en que puede afectar o beneficiar.,43,Miedo,38
4/23/2024 19:48:07,XH7ERTSE,Hacer lo que te apasiona.,hacer lo que te apasiona.,7,Felicidad,5
4/30/2024 10:44:29,7RSZOAWX,"Cuando juego juegos de mesa con mi mejor amigo, cuando salgo con mis hermanos vamos a jugar billar, en un trabajo que entregue me subieron de calificación, cuando vamos a jugar mis amigos y yo Xbox, cuando echo chismesito con mi mami, cuando platico con mi mejor amiga","cuando juego juegos de mesa con mi mejor amigo, cuando salgo con mis hermanos vamos a jugar billar, en un trabajo que entregue me subieron de calificación, cuando vamos a jugar mis amigos y yo xbox, cuando echo chismesito con mi mami, cuando platico con mi mejor amiga",60,Felicidad,48
4/26/2024 13:25:59,UGTBZ7P3,Sobrepensar la situación ,sobrepensar la situación,5,Miedo,3
4/26/2024 13:50:36,X0GVR7CK,Ante exposiciones de violencia (ajena a mi vida),ante exposiciones de violencia (ajena a mi vida),10,Tristeza,8
5/16/2024 7:20:37,7SV40TFC,"Pues me pongo un poco estresado, e incluso podria decir que me pongo de mal humor ","pues me pongo un poco estresado, e incluso podria decir que me pongo de mal humor",18,Ira,16
5/16/2024 17:16:08,V6MYHJGB,Todo el tiempo que estoy en clases,todo el tiempo que estoy en clases,7,Preocupación,7
4/24/2024 11:24:06,8OVFX977,Una especie de ansiedad ,una especie de ansiedad,4,Preocupación,4
4/24/2024 11:31:24,PUV5RTZG,"Son situaciones de estrés, ya que no cuentas que te pase eso, pero en mi modo de pensar es mejor hablar con la verdad y buscar solucion al problema ","son situaciones de estrés, ya que no cuentas que te pase eso, pero en mi modo de pensar es mejor hablar con la verdad y buscar solucion al problema",31,Ira,29
4/25/2024 11:40:29,1KWDDNOH,"Cuando me preocupo en extremo, hasta tiemblo un poco, resultado de ocultar todas mis demás emociones y expresiones ","cuando me preocupo en extremo, hasta tiemblo un poco, resultado de ocultar todas mis demás emociones y expresiones",22,Preocupación,18
4/29/2024 9:09:29,KFH9XJ94,"Me enojo, pero después me calmo para buscar una solución","me enojo, pero después me calmo para buscar una solución",13,Ira,10
