Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens,Emocion
4/23/2024 19:48:07,PFNKXS54,"Me desespero, suelo enojarme y en angustiarme por cómo resolverlo y cuánto tiempo me llevará resolver eso.","Me desespero, suelo enojarme y en angustiarme por cómo resolverlo y cuánto tiempo me llevará resolver eso.",30,Ira
4/23/2024 19:48:07,MKZUPRJI,Con preocupación ,Con preocupación,5,Ira
4/23/2024 19:48:07,UJCL56SG,"Me estreso al inicio, después me rio del problema, digo meh, suspiro, a veces lloro e intento ya calmarme después de ello","Me estreso al inicio, después me rio del problema, digo meh, suspiro, a veces lloro e intento ya calmarme después de ello",34,Ira
4/23/2024 19:48:07,B2KUCT4P,Primero reacciono por impulso una sensación de preocupación pero despues trato de calmarme y respirar y tratar de buscar alguna solución ,Primero reacciono por impulso una sensación de preocupación pero despues trato de calmarme y respirar y tratar de buscar alguna solución,36,Ira
4/23/2024 19:48:07,GXLRPJ5F,"Me estreso, suelo empezar a decir si hubiera salido antes... Si hubiera llevado el cargador, si hubiera avisado... Etc","Me estreso, suelo empezar a decir si hubiera salido antes... Si hubiera llevado el cargador, si hubiera avisado... Etc",33,Ira
4/23/2024 19:48:07,U1856WJ8,"Depende, aveces solo sigo con mi día, aveces es un chale y a seguirle, aveces reacciono muy exagerado y otras solo me estreso","Depende, aveces solo sigo con mi día, aveces es un chale y a seguirle, aveces reacciono muy exagerado y otras solo me estreso",40,Ira
4/23/2024 19:48:07,ADDP44O9,"Si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo ","Si la situación no es grave, lo tomo con calma y trato de prevenirlo para la siguiente ocasión, si es grave, trato de encontrar una solución o alternativa lo más pronto posible y si no la encuentro, no estoy en paz hasta no remediarlo",57,Ira
4/23/2024 19:48:07,EL85BQ8X,Intento solucionarlo lo más rápido posible,Intento solucionarlo lo más rápido posible,10,Ira
4/23/2024 19:48:07,9LGMBDLF,"Frustración, bloqueo mental, dolor de cabeza","Frustración, bloqueo mental, dolor de cabeza",11,Ira
4/23/2024 19:48:07,TUW6M31C,Me pongo de mal humor o simplemente lo dejo pasar,Me pongo de mal humor o simplemente lo dejo pasar,12,Ira
4/23/2024 19:48:07,XH7ERTSE,"SI es algo que no dependia de mi para que funcionara de buena forma, lo dejo pasar. Pero si es algo como el olvidar las llaves, no cargar el celular, me siento incompetente y con enojo de por medio.","SI es algo que no dependia de mi para que funcionara de buena forma, lo dejo pasar. Pero si es algo como el olvidar las llaves, no cargar el celular, me siento incompetente y con enojo de por medio.",57,Ira
4/23/2024 19:48:07,HNAK6DR5,De forma un poco grosera pero con tranquilidad ,De forma un poco grosera pero con tranquilidad,12,Ira
4/23/2024 19:48:07,IAADDB7O,"Enojarme con la vida por un momento, después pensar en frío y verificar que no es tan grave para mí existencia, y finalmente, intentar continuar con mi día ","Enojarme con la vida por un momento, después pensar en frío y verificar que no es tan grave para mí existencia, y finalmente, intentar continuar con mi día",34,Ira
4/23/2024 19:48:07,7FKG0LV6,Trato de no estresarme encontrar una solución rápida y sino no sucede lo que quiero atenuarme a las consecuencias sin enojo ,Trato de no estresarme encontrar una solución rápida y sino no sucede lo que quiero atenuarme a las consecuencias sin enojo,31,Ira
4/23/2024 19:48:07,HJB227EF,"respiro, y busco posibles soluciones, y las opciones mas viables ","respiro, y busco posibles soluciones, y las opciones mas viables",17,Ira
4/23/2024 19:48:07,GBDDJNH0,"Al principio me preocupo, pero después busco una solución al problema.","Al principio me preocupo, pero después busco una solución al problema.",17,Ira
4/23/2024 19:48:07,9ZRTSOTK,"Con preocupación leve, pero siempre buscando una solución rapida.","Con preocupación leve, pero siempre buscando una solución rapida.",15,Ira
4/23/2024 19:48:07,0FQMQ0V1,"Es estresante y molesto, aunque intento calmarme pensando en que estas cosas pasan siempre y no podemls cambiar lo sucedido","Es estresante y molesto, aunque intento calmarme pensando en que estas cosas pasan siempre y no podemls cambiar lo sucedido",29,Ira
