Texto_Procesado,Emocion
Cuando salgo de la universidad,0
Tics nerviosos,4
"Cuando algo no me sale bien, y hasta que no me salga estare ahi con la preocupacion",4
"Cuando estoy con pareja, con mis amigos, bailando o cuando estoy jugando juegos de mesa con mi familia.",1
Primero necesitas experimentar la tristeza para saber que es la felicidad,1
"cuando llego tarde a algún lugar, siento pena. cuando se me acaba la batería del cel ya depende de la situación. Pero supongamos que se me acabo la pila en medio de la nada y lo que sentiría es preocupación. cuando olvido las llaves siento enojo conmigo mismo.",2
"En lo personal, cuando no me salen bien las cosas y lo intento arreglar pero no me sale. En lo laboral cuando una persona es muy despreocupada, incumplida, irrespetuosa, o grosera.",0
Cansancio,4
Cuando no hay estrés escolar y cuando me recreo,1
"Al fallar en cosas simples; cuando las personas son necias o no siguen indicaciones, cuando hacen sus propias reglas para cosas que deben ser hechas de cierta manera, cuando son impredecibles, mienten o hacen cosas incorrectas",0
"Analizar la elección, considerar pros y contras y finalmente tomar la decisión",3
Me he sentido cansado después de un día lleno de actividades de la universidad.,0
Después de entrenar o de jugar partidos de basquetbol,0
"Tristesa, agotada, pensativa",4
Empiezo a temblar,4
Al ser minimizado,0
"En las noches, junto antes de dormir.",4
Cuando recuerdo algunas cuentas pendientes,4
"Principalmente pienso en todos las implicaciones de las decision tanto buenas como malas, despues analizar la mejor manera de resolver lo que tengo que hacer.",3
"Cuando llego de la escuela, cuando hago quehacer",0
"Al estar con mi pareja es muy tranquilizante y feliz, ya que me siento tranquilo, y al estar con mi mamá, tambien es mucha felicidad",1
lograr la plenitud de las personas que amo,1
"Nerviosismo, dolor de cabeza, cansancio, gases.",4
Normalmente cuando me enuentro en una situacion de mcuho extres es verdad que llego a sentir dolor en los hombros o no poder dormir bien.,4
Me pongo muy triste pensando en lo que pude haber hecho mejor,2
"Trato de resolver lo más rápido, por ejemplo, si se me pasó el autobús para la escuela, tomo otra ruta que me deje a unas calles más lejos, pero así no tardo en esperar a que vuelva a pasar el autobús que se me fue",2
"Me gusta fomentarme y para mí la felicidad está en todo ver la vida de manera diferente, solemos estar tan metidos en nuestras cosas que no vemos lo que nos rodea, disfrutar de todo, sentirlo y prepararnos porque nunca nos preparamos para los momentos malos y cuando llegan lamentablemente muchos no saben que hacer, se frustran y culpan a si mismos o a otras personas.",1
Con tranquilidad y intento resolver en el momento,2
Al principio del día,4
Saliendo con mis amigos,1
"Depende, en cosas que son accidentales trato de ser paciente y entender que no fue culpa mía, cuando llego tarde (sucede mucho) me frustro y me pongo triste.",2
"Cuando voy tarde a clases, cuando entregan resultados de exámenes, cuando tengo muchas cosas por hacer",4
"Elegir el camino que más me convenga, o el que menos me afecte",3
"Cuando estoy con mi familia, cuando dedico tiempo para cuidar mi aspecto. Estando con mis amigos o también haciendo ejercicio",1
Cuando llevo mucho tiempo intentando algo y aún no obtengo el resultado que quiero,0
